Name,Address,prktype,restroom,Website,playground,soccer,basketball,tennis,volleyball,baseball,discgolf,dogpark,picnic,sprayground,latitude,longitude
Park Road Tennis Center,"6215 PARK RD CHARLOTTE, NC 28210",Tennis Center,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,35.14408281,-80.8499492
Abersham Park,"3314 GREY RD DAVIDSON, NC 28036",Town Park,No,https://www.ci.davidson.nc.us/130/Parks-Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.50600937,-80.80388954
Randolph Road Park,"201 BILLINGSLEY RD CHARLOTTE, NC 28205",Community,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,35.19060359,-80.80903629
Renaissance Park,"1536 W TYVOLA RD CHARLOTTE, NC 28217",Regional,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,Yes,Yes,Yes,Yes,NA,NA,35.17509986,-80.90967776
Rural Hill Nature Preserve,"4431 NECK RD HUNTERSVILLE, NC 28078",Nature Preserve,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.38395286,-80.94478325
Bette Rae Thomas Recreation Center,"2921 TUCKASEEGEE RD CHARLOTTE, NC 28208",Recreation Center,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,35.24166013,-80.87713869
Biddleville Park,"500 ANDRILL TR CHARLOTTE, NC 28216",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,35.24343061,-80.85031121
McEver Athletic Field,"626 SOUTH ST DAVIDSON, NC 28036",Town Park,Yes,https://www.ci.davidson.nc.us/130/Parks-Recreation,NA,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.49103251,-80.84933584
Albemarle Road Park,"9120 E W T HARRIS BV CHARLOTTE, NC 28227",Community,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.19660369,-80.72652855
Latta Nature Preserve,"5226 SAMPLE RD HUNTERSVILLE, NC 28216",Nature Preserve,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,35.35302632,-80.92903946
Tradition Golf Course,"3800 PROSPERITY CHURCH RD CHARLOTTE, NC 28269",Golf Course,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.34970078,-80.7750777
Back Creek Park,"3343 BACK CREEK CHURCH RD CHARLOTTE, NC 28213",Regional,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.29080748,-80.70271913
Sugaw Creek Recreation Center,"943 W SUGAR CREEK RD CHARLOTTE, NC 28213",Recreation Center,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.27306558,-80.79372161
Reedy Creek Nature Preserve,"2900 ROCKY RIVER RD CHARLOTTE, NC 28215",Nature Preserve,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.27599468,-80.71807255
Quest at Latta Nature Preserve,"6345 SAMPLE RD CHARLOTTE, NC 28078",Nature Center,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.35226761,-80.91542966
McIlwaine Park,"8101 MCILWAINE RD HUNTERSVILLE, NC 28078",Regional,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.39311069,-80.89820843
Rozzelles Ferry Nature Preserve,"11840 MOUNTAIN ISLAND BROOK LN CHARLOTTE, NC 28214",Nature Preserve,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3470849,-80.96861102
Purser-Hulsey Park,"3024 MATTHEWS-MINT HILL RD MATTHEWS, NC 28105",Town Park,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,35.13201412,-80.68446016
Wallace Pruitt Recreation Center,"501 S BRUNS AV CHARLOTTE, NC 28208",Recreation Center,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.23940231,-80.86523546
